,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2340,9.386410213495196,-0.009648189231460819,2.787239614816812,0.0708024348000972,0.06115424552925292,1.066302943497132,0.18641126155853271,1.000237331711329,20000,14,0,8.544900178909302,0.0
1,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2470,10.24177809318845,-0.009366218648397196,2.728660548955966,0.15881146439948143,0.14944524530198974,1.1198044879887348,0.2182929664850235,1.0000859593733764,40000,43,1,16.194202184677124,0.0
2,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2473,13.659902879371973,-0.017142486707187998,2.673593819141388,0.11113569310460335,0.0939932062018227,1.3865755397921953,0.3036171495914459,1.002108263816589,60000,66,2,24.259929180145264,0.0
3,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2453,15.20487678077412,-0.00858576459547457,2.6057197806162713,0.4311067672971732,0.4225210040145798,1.9665857506486086,0.34685996174812317,1.000387091208727,80000,97,3,32.6067430973053,0.0
4,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2404,18.361792759407102,-0.009354801632416173,2.509166573561155,1.0708542828376477,1.0614994804446514,2.874046695385224,0.4984618127346039,0.9998156023331177,100000,151,4,41.582250118255615,0.0
5,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2330,18.173490479051623,-0.00815065921499179,2.3993732180350866,1.488624722835345,1.480474063906914,5.690708589095336,0.7711259722709656,0.999399661177244,120000,223,5,51.49030923843384,0.0
6,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2271,19.5273227889378,-0.0068377556341986815,2.319045952955882,3.2117807782613315,3.2049430136497206,8.746456317259716,0.740256667137146,0.9994245335077628,140000,322,6,61.63201308250427,0.0
7,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2230,23.217030140126557,-0.0066877594748989515,2.2985660714980884,3.930885388300969,3.924197623057243,11.779809998854613,1.0930978059768677,0.9998449734388254,160000,420,7,71.73011112213135,0.0
8,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2184,31.849425774567763,-0.008583572899731688,2.1582087382292134,5.416303538359129,5.407719958745516,20.61524697695023,1.6060340404510498,1.0001056487743671,180000,532,8,82.40179204940796,0.0
9,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2152,39.94390063660786,-0.006990074402748201,2.0451926144269796,10.141675612254021,10.134685531029334,31.786139195698958,2.1917948722839355,1.0000899742811153,200000,648,9,92.92902517318726,0.0
10,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2119,50.78099724806516,-0.005461946512178446,1.9835999418527652,13.306365453279936,13.300903509213374,28.581352019921326,2.062345027923584,0.9978813530542912,220000,758,10,103.77550411224365,0.0
11,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2106,74.98398833616645,-0.005114038994846245,1.8889929951765598,16.251865492111598,16.246751453937627,39.44870908107513,3.2638800144195557,1.0001595659133715,240000,847,11,113.91030716896057,0.0
12,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2086,84.30941374347053,-0.006648633428491079,1.7852554892882322,24.907875969471075,24.901227381290532,48.26855087616505,3.7262749671936035,1.0001817554999621,260000,947,12,124.6241021156311,0.0
13,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2073,103.21056626739322,-0.003777747607837694,1.7066161834276639,32.51776648056813,32.5139887491862,64.79065627746093,4.089695453643799,1.0005416627113635,280000,1046,13,135.05509305000305,0.0
14,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2060,130.11722038686003,-0.003925176061845074,1.6266408917231439,44.147630089979906,44.14370484474378,109.54894717045319,5.257158279418945,0.9998257642373061,300000,1134,14,145.6307511329651,0.0
15,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2051,164.22532536276148,-0.002007606642272992,1.6215172720261108,50.500779203268195,50.49877130801861,107.35355558395386,4.544093132019043,1.000378525409943,320000,1215,15,156.00593304634094,0.01
16,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-1Env-v0/ppo,2037,137.45372351350923,-0.0009044945878812518,1.5823410254258377,65.99882036355825,65.99791605533697,120.65042320275919,3.5002477169036865,0.9995305373882636,340000,1306,16,166.8710241317749,0.0
