,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,current_q2,reward
0,Pendulum-v1,1999,-1381.7715545390402,1199,6,0.5997049808502197,8.703242301940918,0.6563897132873535,-9.00103759765625,-8.893630027770996,-8.915018081665039,-6.66025447845459
1,Pendulum-v1,658,-1446.300693273544,2199,11,3.3383021354675293,23.70866584777832,0.16152717173099518,-23.700698852539062,-23.706796646118164,-23.58833885192871,-7.119227886199951
2,Pendulum-v1,523,-1460.2078586543266,3199,16,6.109710931777954,41.572608947753906,6.620510101318359,-41.98549270629883,-41.55316925048828,-41.58782958984375,-7.637178897857666
3,Pendulum-v1,475,-1412.0617995747864,4199,21,8.829897165298462,53.06522750854492,28.97360610961914,-53.86214828491211,-53.82975769042969,-53.75934600830078,-6.919193744659424
4,Pendulum-v1,449,-1350.07958910821,5199,26,11.565243005752563,67.0486068725586,17.10418128967285,-67.10206604003906,-67.83116149902344,-67.80266571044922,-6.968016624450684
5,Pendulum-v1,432,-1296.2768701070008,6199,31,14.338911056518555,76.13550567626953,64.21835327148438,-76.67549133300781,-76.7637710571289,-76.78744506835938,-6.542384147644043
6,Pendulum-v1,420,-1268.8762755616758,7199,36,17.102221965789795,82.99974822998047,80.18269348144531,-85.01692199707031,-83.39202880859375,-83.44024658203125,-6.514330863952637
7,Pendulum-v1,412,-1184.5623362200326,8199,41,19.864202976226807,89.48162841796875,43.40800857543945,-90.93343353271484,-90.86044311523438,-90.96247863769531,-6.08730411529541
8,Pendulum-v1,407,-1084.0834641330644,9199,46,22.582571983337402,91.69691467285156,3.063377618789673,-92.52125549316406,-92.19801330566406,-92.26504516601562,-5.41938591003418
9,Pendulum-v1,402,-1009.3934147667746,10199,51,25.36487317085266,96.6024169921875,10.48200798034668,-99.49578094482422,-97.71717834472656,-97.77937316894531,-5.348519802093506
10,Pendulum-v1,398,-934.6376321281948,11199,56,28.104575157165527,88.93769836425781,362.5521240234375,-89.64852142333984,-91.02127838134766,-91.05755615234375,-4.515141487121582
11,Pendulum-v1,395,-876.708003067062,12199,61,30.823559045791626,94.8912353515625,117.21395874023438,-96.71754455566406,-96.47701263427734,-96.47443389892578,-4.345800399780273
12,Pendulum-v1,393,-820.0956936845952,13199,66,33.57954001426697,89.07918548583984,112.30657958984375,-89.7177963256836,-90.38226318359375,-90.51465606689453,-3.9022064208984375
13,Pendulum-v1,390,-772.7559492920248,14199,71,36.363961935043335,93.13158416748047,14.322103500366211,-96.73258209228516,-94.73410034179688,-94.6763687133789,-3.901761531829834
14,Pendulum-v1,386,-733.2513569584402,15199,76,39.3561749458313,89.53340911865234,317.4652099609375,-90.99073791503906,-91.84351348876953,-92.12945556640625,-3.341737747192383
15,Pendulum-v1,381,-697.0787786672781,16199,81,42.49444389343262,94.94214630126953,10.959085464477539,-97.10699462890625,-96.76962280273438,-96.7750244140625,-3.5729079246520996
16,Pendulum-v1,376,-665.0566416865394,17199,86,45.67916297912598,87.70024108886719,7.196354389190674,-88.6535415649414,-88.94366455078125,-89.0833511352539,-3.275143623352051
17,Pendulum-v1,374,-635.2958689930891,18199,91,48.64139103889465,84.76339721679688,344.82891845703125,-86.49187469482422,-86.61698150634766,-86.58614349365234,-3.1560840606689453
18,Pendulum-v1,373,-610.703785026354,19199,96,51.46277379989624,93.24607849121094,9.503666877746582,-95.6615219116211,-95.19252014160156,-95.07502746582031,-3.4486727714538574
19,Pendulum-v1,372,-579.6792629513434,20199,101,54.237717151641846,83.1852035522461,11.910623550415039,-84.76153564453125,-85.50271606445312,-85.59321594238281,-2.728888750076294
20,Pendulum-v1,371,-520.6823163516215,21199,106,57.09308314323425,76.93561553955078,8.85668659210205,-79.4816665649414,-78.38815307617188,-78.48062133789062,-2.696519374847412
21,Pendulum-v1,369,-454.9113389006865,22199,111,60.023869037628174,80.03337860107422,6.357266902923584,-82.42282104492188,-82.12532043457031,-82.12614440917969,-2.742739677429199
22,Pendulum-v1,369,-384.07848014606793,23199,116,62.82702994346619,85.37603759765625,21.674243927001953,-90.4156494140625,-88.09140014648438,-88.3853530883789,-2.9801759719848633
23,Pendulum-v1,369,-327.2033289936147,24199,121,65.54186010360718,76.68047332763672,270.98931884765625,-78.38764953613281,-78.45796203613281,-78.72940826416016,-2.5021800994873047
