,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2347,6.94284558224762,-0.006133369287440123,2.8003244714859203,0.1251190308839656,0.11898566181055055,0.9655755773568765,0.16933411359786987,0.9995178296779975,20000,18,0,8.518611907958984,0.0
1,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2537,10.194814745859974,-0.014372367874229661,2.741787428427965,0.08387427371210204,0.06950190657080384,1.038075175613929,0.24552538990974426,0.9996004074047773,40000,41,1,15.760746955871582,0.0
2,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2644,12.70723675902263,-0.011664234575866244,2.684567082233918,0.19662654685477415,0.18496231205018165,1.4253657972583405,0.30357739329338074,1.0023327185557438,60000,69,2,22.68574595451355,0.0
3,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2684,14.573982014268365,-0.01098795737951803,2.615879485851679,0.37001888937292954,0.35903093063553126,1.8360232066649658,0.3843275010585785,1.0002620868193797,80000,101,3,29.800525903701782,0.0
4,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2635,17.04844419040753,-0.006452238522111796,2.5245453134561195,1.0086138255703143,1.0021615895896385,2.7421057267830924,0.47179993987083435,0.9999346441183334,100000,153,4,37.943601846694946,0.0
5,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2549,17.12848476936325,-0.00738017299445346,2.3944988675606558,1.6704572319984436,1.663077062368393,3.9547378608813655,0.7201544046401978,0.9992106763980327,120000,223,5,47.06322193145752,0.0
6,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2492,22.14638929745427,-0.007056062958107736,2.2973249261195843,2.706943305180623,2.6998872440594894,5.525561470328233,1.0027273893356323,0.9989408652751873,140000,301,6,56.171164989471436,0.0
7,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2450,27.82760115611002,-0.007774931449108781,2.2420341879893573,4.0197825110875645,4.012007548411687,8.773521903080818,1.24823796749115,0.9995988842004385,160000,393,7,65.30027484893799,0.0
8,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2450,40.009964381199524,-0.007634536439302162,2.152764324958508,4.0864637139516,4.078829176762166,11.715092249711354,1.6270935535430908,0.9994359117287855,180000,456,8,73.45973992347717,0.0
9,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2473,60.66182362922339,-0.010060944121916039,2.0329536439516604,8.085900848339765,8.075839904027108,21.68668132898135,2.5496456623077393,0.9997550959770496,200000,523,9,80.85924291610718,0.0
10,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2474,88.25291671919493,-0.0066339048689816335,1.9398788693623665,10.958850955351805,10.952217019521273,37.215138663389745,3.3762733936309814,0.9987116449918503,220000,590,10,88.88907480239868,0.02
11,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2466,108.97684965342077,-0.004926030456315344,1.8324062491074586,19.44809261346475,19.4431665909596,60.662652706488586,4.197841644287109,0.9999387067097883,240000,668,11,97.31937193870544,0.02
12,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2454,119.15562565283534,-0.004684910530415483,1.7624399909606348,30.47004619622842,30.465361320055447,102.76344919938307,4.714142799377441,1.0005606001768357,260000,758,12,105.92605900764465,0.02
13,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2440,117.33613838423533,-0.0019778799761134462,1.7066226170613215,45.950957894936586,45.948980118678165,130.0360177137913,4.277097702026367,0.9999238445208622,280000,855,13,114.73189306259155,0.01
14,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2436,121.34149020753499,-0.002692442449430625,1.6503690325296843,55.42682585593982,55.424133325234436,184.03612943306948,3.6920862197875977,0.9989579657713572,300000,957,14,123.12506985664368,0.0
15,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2432,125.1043982608104,-0.0025310922569284837,1.631220748179998,67.23491680927766,67.23238599239251,239.11013598808876,3.1435387134552,0.9988400570857219,320000,1058,15,131.5780029296875,0.04
16,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/MetaDrive-Tut-Hard-v0/ppo,2414,133.010483364778,-0.0015806349325710191,1.6051090523218496,70.8522285999396,70.85064780895527,277.15609131837505,3.0996944904327393,1.0004968523215025,340000,1159,16,140.83059000968933,0.02
